sweep,replica,temperature,energy,cmdl,spec,curv,accepted,proposed,code_hash,graph_hash
87,0,1,9.102848,8.282174,0.805927,0.014746,207,616,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,55fe5fb3b039e0241a0ba83e731cb61a77c66262d92045c43bae7899e8fec024
88,0,1,10.620197,8.955461,1.649990,0.014746,210,623,ad0af986d2744d87c717a1e05b8aa6604db9a4b62af02b30ae93a28db87b59a4,55fe5fb3b039e0241a0ba83e731cb61a77c66262d92045c43bae7899e8fec024
89,0,1,11.637546,9.628748,1.994052,0.014746,212,630,dd8aaa740719d6cc4ac66daf2123a7934a987a11dc3d239411688084c4b1dd05,55fe5fb3b039e0241a0ba83e731cb61a77c66262d92045c43bae7899e8fec024
90,0,1,10.518831,8.854095,1.649990,0.014746,215,637,e0ef94c5ccd545c61a358f1a62e9b8717c3756321e8988d27c4e922ca8b21693,55fe5fb3b039e0241a0ba83e731cb61a77c66262d92045c43bae7899e8fec024
91,0,1,10.518831,8.854095,1.649990,0.014746,216,644,e0ef94c5ccd545c61a358f1a62e9b8717c3756321e8988d27c4e922ca8b21693,55fe5fb3b039e0241a0ba83e731cb61a77c66262d92045c43bae7899e8fec024
92,0,1,9.102848,8.282174,0.805927,0.014746,218,651,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,55fe5fb3b039e0241a0ba83e731cb61a77c66262d92045c43bae7899e8fec024
93,0,1,9.102848,8.282174,0.805927,0.014746,219,658,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,55fe5fb3b039e0241a0ba83e731cb61a77c66262d92045c43bae7899e8fec024
94,0,1,9.092817,8.282174,0.805927,0.004715,221,665,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,31ad635d909bc3c3d2e2bc1b23d6ae52dfef85d2b27ec8cb8ece9d8416c5b884
95,0,1,9.092817,8.282174,0.805927,0.004715,222,672,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,31ad635d909bc3c3d2e2bc1b23d6ae52dfef85d2b27ec8cb8ece9d8416c5b884
96,0,1,10.610166,8.955461,1.649990,0.004715,224,679,37fb4f792e7711ae484f43a7bc058e81d9f0edf9458ead1975e4c64f87d7fe50,31ad635d909bc3c3d2e2bc1b23d6ae52dfef85d2b27ec8cb8ece9d8416c5b884
97,0,1,11.424783,9.426015,1.994052,0.004715,227,686,a39bb73c575ee5133c0d845190304113ace9b48a0d0f5a23dcbe1e78951272fa,31ad635d909bc3c3d2e2bc1b23d6ae52dfef85d2b27ec8cb8ece9d8416c5b884
98,0,1,10.610166,8.955461,1.649990,0.004715,230,693,37fb4f792e7711ae484f43a7bc058e81d9f0edf9458ead1975e4c64f87d7fe50,31ad635d909bc3c3d2e2bc1b23d6ae52dfef85d2b27ec8cb8ece9d8416c5b884
99,0,1,9.092817,8.282174,0.805927,0.004715,232,700,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,31ad635d909bc3c3d2e2bc1b23d6ae52dfef85d2b27ec8cb8ece9d8416c5b884
100,0,1,10.508800,8.854095,1.649990,0.004715,234,707,179d211e904b384de637ac5c99ce3bad1104e52a8a61888bd31de143abfafd09,31ad635d909bc3c3d2e2bc1b23d6ae52dfef85d2b27ec8cb8ece9d8416c5b884
101,0,1,9.092817,8.282174,0.805927,0.004715,236,714,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,31ad635d909bc3c3d2e2bc1b23d6ae52dfef85d2b27ec8cb8ece9d8416c5b884
102,0,1,10.610166,8.955461,1.649990,0.004715,239,721,37fb4f792e7711ae484f43a7bc058e81d9f0edf9458ead1975e4c64f87d7fe50,31ad635d909bc3c3d2e2bc1b23d6ae52dfef85d2b27ec8cb8ece9d8416c5b884
103,0,1,9.092817,8.282174,0.805927,0.004715,241,728,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,31ad635d909bc3c3d2e2bc1b23d6ae52dfef85d2b27ec8cb8ece9d8416c5b884
104,0,1,10.610166,8.955461,1.649990,0.004715,243,735,ad0af986d2744d87c717a1e05b8aa6604db9a4b62af02b30ae93a28db87b59a4,31ad635d909bc3c3d2e2bc1b23d6ae52dfef85d2b27ec8cb8ece9d8416c5b884
105,0,1,11.526149,9.527381,1.994052,0.004715,246,742,b819c5c90ea00d67796595bc41a6b54392b5ee90cb8ab940ccd89c604c81553a,31ad635d909bc3c3d2e2bc1b23d6ae52dfef85d2b27ec8cb8ece9d8416c5b884
106,0,1,10.610166,8.955461,1.649990,0.004715,249,749,37fb4f792e7711ae484f43a7bc058e81d9f0edf9458ead1975e4c64f87d7fe50,31ad635d909bc3c3d2e2bc1b23d6ae52dfef85d2b27ec8cb8ece9d8416c5b884
107,0,1,11.627515,9.628748,1.994052,0.004715,252,756,dd8aaa740719d6cc4ac66daf2123a7934a987a11dc3d239411688084c4b1dd05,31ad635d909bc3c3d2e2bc1b23d6ae52dfef85d2b27ec8cb8ece9d8416c5b884
108,0,1,10.508800,8.854095,1.649990,0.004715,255,763,179d211e904b384de637ac5c99ce3bad1104e52a8a61888bd31de143abfafd09,31ad635d909bc3c3d2e2bc1b23d6ae52dfef85d2b27ec8cb8ece9d8416c5b884
109,0,1,9.091885,8.282174,0.805927,0.003783,258,770,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,73f5efc94321c0e66c0fa4f3f14fc0dc6d7fb02e79dc6c80c214d626eea2f3d2
110,0,1,9.091885,8.282174,0.805927,0.003783,259,777,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,73f5efc94321c0e66c0fa4f3f14fc0dc6d7fb02e79dc6c80c214d626eea2f3d2
111,0,1,9.088102,8.282174,0.805927,0.000000,261,784,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,c83161efe1aa148560bddcd2114e45eee31a2b25be9b6b7554809446bd3be6fd
112,0,1,9.101315,8.282174,0.805927,0.013214,263,791,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,4d533cef5149289f121e3a979cba1c966ef4eb6301abab87d57b3e6dc11f4b18
113,0,1,10.517298,8.854095,1.649990,0.013214,266,798,e0ef94c5ccd545c61a358f1a62e9b8717c3756321e8988d27c4e922ca8b21693,4d533cef5149289f121e3a979cba1c966ef4eb6301abab87d57b3e6dc11f4b18
114,0,1,10.605451,8.955461,1.649990,0.000000,270,805,37fb4f792e7711ae484f43a7bc058e81d9f0edf9458ead1975e4c64f87d7fe50,c83161efe1aa148560bddcd2114e45eee31a2b25be9b6b7554809446bd3be6fd
115,0,1,10.605451,8.955461,1.649990,0.000000,273,812,37fb4f792e7711ae484f43a7bc058e81d9f0edf9458ead1975e4c64f87d7fe50,c83161efe1aa148560bddcd2114e45eee31a2b25be9b6b7554809446bd3be6fd
